City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
227,Aswan,EG,24.0934,32.907,94.3,12,0,8.05,clear sky
228,Kununurra,AU,-15.7667,128.7333,49.98,87,4,0.0,clear sky
229,Alice Springs,AU,-23.7,133.8833,35.15,41,0,0.0,clear sky
230,Namatanai,PG,-3.6667,152.4333,79.11,79,52,8.86,light rain
231,Poum,NC,-20.2333,164.0167,73.63,72,0,18.92,clear sky
232,Arlit,NE,18.7369,7.3853,94.42,30,63,7.25,broken clouds
233,Zhiryatino,RU,53.2228,33.7306,57.52,93,74,5.68,broken clouds
234,Whakatane,NZ,-37.9585,176.9854,41.77,99,99,3.44,overcast clouds
235,Hofn,IS,64.2539,-15.2082,55.63,68,15,9.53,few clouds
236,Labuan,MY,5.2767,115.2417,75.56,100,20,0.0,few clouds
237,Laguna,US,38.421,-121.4238,103.64,31,0,8.05,clear sky
238,Homer,US,59.6425,-151.5483,55.27,86,100,11.99,light rain
239,Arroio Dos Ratos,BR,-30.0772,-51.7292,53.42,75,17,4.76,few clouds
240,Panjab,AF,34.388,67.0233,61.83,28,0,5.08,clear sky
241,Quelimane,MZ,-17.8786,36.8883,65.5,95,89,4.72,overcast clouds
242,Turukhansk,RU,65.8167,87.9833,53.76,69,13,11.14,few clouds
243,Coahuayana,MX,18.7333,-103.6833,90.09,59,70,7.85,broken clouds
244,Piterka,RU,50.6803,47.4454,72.07,56,0,5.73,clear sky
245,Tocopilla,CL,-22.092,-70.1979,65.37,62,16,8.77,few clouds
246,Bara,NG,10.3744,10.7288,71.64,93,100,2.06,overcast clouds
247,Vinh Long,VN,10.25,105.9667,76.98,95,20,5.01,few clouds
248,Mahebourg,MU,-20.4081,57.7,70.09,56,20,19.57,few clouds
249,Vestmannaeyjar,IS,63.4427,-20.2734,52.3,86,42,15.46,scattered clouds
250,Trairi,BR,-3.2778,-39.2689,80.87,74,29,11.56,scattered clouds
251,Zakamensk,RU,50.3741,103.2863,53.01,86,29,1.52,scattered clouds
252,Farmington,US,36.7281,-108.2187,99.77,19,0,6.91,clear sky
253,Chadiza,ZM,-14.0678,32.4392,57.65,65,65,6.4,broken clouds
254,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,69,0,10.36,clear sky
255,Hami,CN,42.8,93.45,80.55,27,6,3.94,clear sky
256,Atar,MR,20.5169,-13.0499,105.15,8,19,9.04,few clouds
257,Salalah,OM,17.0151,54.0924,78.89,89,100,6.91,overcast clouds
258,Nueva Imperial,CL,-38.7333,-72.95,50.65,88,29,11.32,scattered clouds
259,Kenai,US,60.5544,-151.2583,55.09,94,100,4.61,light rain
260,Pisco,PE,-13.7,-76.2167,64.45,72,3,10.36,haze
261,Chapais,CA,49.7834,-74.8492,78.58,28,53,7.78,broken clouds
262,Jamestown,US,42.097,-79.2353,78.39,81,100,9.22,overcast clouds
263,Libreville,GA,0.3925,9.4537,75.22,78,17,10.71,few clouds
264,Kotri,PK,25.366,68.3122,83.28,83,35,10.38,scattered clouds
265,Fort Nelson,CA,58.8053,-122.7002,71.19,49,75,6.91,broken clouds
266,Ust-Barguzin,RU,53.45,108.9833,48.49,88,6,0.85,clear sky
267,Abdulino,RU,53.7,53.6667,63.61,82,77,2.26,broken clouds
268,Dobson,US,36.3957,-80.7226,90.28,72,75,4.61,broken clouds
269,Strelka,RU,58.0728,93.0344,54.95,97,100,3.49,light rain
270,Lavrentiya,RU,65.5833,-171.0,46.78,97,100,8.5,overcast clouds
271,Thunder Bay,CA,48.4001,-89.3168,73.31,68,20,10.36,few clouds
272,Morgan City,US,29.6994,-91.2068,93.99,52,60,5.64,broken clouds
273,Taltal,CL,-25.4,-70.4833,62.15,63,7,4.61,clear sky
274,Viesite,LV,56.3475,25.5551,50.25,94,23,3.89,few clouds
275,Kalakamati,BW,-20.5929,27.3121,49.87,71,0,10.0,clear sky
276,Tambura,SS,5.6,27.4667,70.14,93,100,3.8,light rain
277,Ajdabiya,LY,30.7554,20.2263,81.54,60,0,17.76,clear sky
278,Prnjavor,BA,44.8703,17.6628,72.66,46,3,2.51,clear sky
279,Villa De Reyes,MX,21.8,-100.9333,83.68,27,14,14.32,few clouds
280,Miracema Do Tocantins,BR,-9.5618,-48.3967,93.9,22,1,6.29,clear sky
281,Mayo,US,38.8876,-76.5119,87.13,79,0,8.05,clear sky
282,Hurricane,US,37.1753,-113.2899,100.6,20,24,6.69,few clouds
283,Chirongui,YT,-12.9319,45.1483,71.53,69,58,6.08,light rain
284,Makakilo City,US,21.3469,-158.0858,81.01,66,100,14.97,overcast clouds
285,Montepuez,MZ,-13.1256,38.9997,68.36,68,100,6.22,overcast clouds
286,Vao,NC,-22.6667,167.4833,70.88,73,99,18.48,overcast clouds
287,Ambilobe,MG,-13.2,49.05,67.41,66,99,5.66,overcast clouds
288,Sidney,AU,-33.8679,151.2073,53.96,67,0,9.22,clear sky
289,Kunming,CN,25.0389,102.7183,66.13,94,0,8.95,clear sky
290,Cabedelo,BR,-6.9811,-34.8339,77.67,79,79,16.96,broken clouds
291,Muslyumovo,RU,55.3033,53.1947,64.44,90,75,2.98,light rain
292,Kodiak,US,57.79,-152.4072,63.91,52,40,8.05,scattered clouds
293,Vuktyl,RU,63.8567,57.3094,59.59,91,67,2.93,broken clouds
294,Rockhampton,AU,-23.3833,150.5,51.69,93,1,1.14,clear sky
295,Sargur,IN,11.9833,76.4167,68.67,94,97,8.84,overcast clouds
296,Ranong,TH,9.9658,98.6348,78.62,89,98,4.74,overcast clouds
297,Maniitsoq,GL,65.4167,-52.9,42.67,96,100,17.6,moderate rain
298,Faanui,PF,-16.4833,-151.75,77.11,70,77,18.1,light rain
299,Katsuura,JP,35.1333,140.3,77.45,90,99,14.61,overcast clouds
300,Tomigusuku,JP,26.185,127.675,83.97,91,40,16.11,mist
301,Bosaso,SO,11.2842,49.1816,95.18,35,5,20.02,clear sky
302,Hualmay,PE,-11.0964,-77.6139,65.82,72,14,11.61,few clouds
303,Beya,RU,53.0533,90.9139,58.59,94,100,8.77,light rain
304,Lazaro Cardenas,MX,17.9583,-102.2,86.61,63,87,11.32,overcast clouds
305,Maldonado,UY,-34.6667,-54.9167,54.79,62,0,11.56,clear sky
306,Andra,RU,62.5147,65.8878,57.6,65,7,3.62,clear sky
307,Sakaiminato,JP,35.55,133.2333,75.18,88,75,4.61,broken clouds
308,Battipaglia,IT,40.6109,14.9852,81.99,74,27,4.94,scattered clouds
309,Pitimbu,BR,-7.4706,-34.8086,77.59,80,50,15.41,scattered clouds
310,Pingliang,CN,35.5392,106.6861,67.06,43,98,6.2,overcast clouds
311,Wanxian,CN,30.8039,108.3897,79.74,95,100,0.76,overcast clouds
312,Magole,TZ,-6.3667,37.3667,70.52,57,99,2.01,overcast clouds
313,Tajumulco,GT,15.0833,-91.8833,68.79,67,68,0.54,broken clouds
314,Poya,NC,-21.35,165.15,66.88,87,5,5.86,clear sky
315,Pacifica,US,37.6138,-122.4869,87.15,82,20,17.27,mist
316,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,86.81,59,76,4.16,broken clouds
317,Bozuyuk,TR,39.9078,30.0367,70.14,83,0,7.09,clear sky
318,Marataizes,BR,-21.0433,-40.8244,74.68,78,100,19.3,overcast clouds
319,Tailai,CN,46.3833,123.4,66.06,90,99,3.4,overcast clouds
320,Chase,CA,50.8165,-119.6857,80.08,40,30,3.67,scattered clouds
321,Sao Felix Do Xingu,BR,-6.6447,-51.995,95.16,25,6,3.89,clear sky
322,Inirida,CO,3.8653,-67.9239,83.52,79,84,3.11,broken clouds
323,Castle Rock,US,39.3722,-104.8561,95.31,20,1,7.0,clear sky
324,Sambava,MG,-14.2667,50.1667,69.76,84,90,14.74,light rain
325,Geraldton,AU,-28.7667,114.6,54.01,100,40,10.36,scattered clouds
326,Itoman,JP,26.1247,127.6694,84.22,91,40,16.11,mist
327,Luleburgaz,TR,41.4039,27.3592,71.38,61,0,9.53,clear sky
328,Khani,GE,41.9563,42.9566,63.97,98,100,1.19,overcast clouds
329,Soyo,AO,-6.1349,12.3689,70.99,87,34,7.7,scattered clouds
330,Kamen-Rybolov,RU,44.7481,132.0403,63.28,98,100,5.12,overcast clouds
331,Qarchi Gak,AF,37.04,66.7889,92.55,10,0,12.59,clear sky
332,Bubaque,GW,11.2833,-15.8333,80.53,87,100,15.75,overcast clouds
333,Easton,US,40.6884,-75.2207,88.09,54,20,5.75,few clouds
334,Bhawanipatna,IN,19.9,83.1667,76.57,92,98,4.65,overcast clouds
335,Paciran,ID,-6.8767,112.3761,77.11,86,88,8.75,overcast clouds
336,Puerto Leguizamo,CO,-0.1934,-74.7819,80.91,81,97,1.57,overcast clouds
337,Touros,BR,-5.1989,-35.4608,78.31,78,76,17.22,broken clouds
338,Koumac,NC,-20.5667,164.2833,68.7,79,6,5.1,clear sky
339,Bhanpuri,IN,21.1,80.9167,76.08,96,97,7.94,overcast clouds
340,Sola,VU,-13.8833,167.55,81.21,77,81,22.5,broken clouds
341,Codrington,AU,-38.2667,141.9667,48.54,71,100,18.21,overcast clouds
342,Kawalu,ID,-7.3817,108.2082,71.89,96,100,1.1,overcast clouds
343,Chunskiy,RU,56.0815,99.6342,54.73,82,100,3.98,overcast clouds
344,Tchibanga,GA,-2.85,11.0333,68.13,81,22,3.53,few clouds
345,Lahore,PK,31.5497,74.3436,86.11,74,40,6.91,smoke
346,Adre,TD,13.4667,22.2,72.64,77,100,11.25,light rain
